Target_Audience,Customer_Segment,Spend,Acquisition_Cost,Engagement_Score,Impressions,Clicks,Conversion_Rate,Conversions,Revenue,ROI,Spend_Impressions,Clicks_Engagement,Spend_x_Engagement,ROI_x_Clicks
Young Adults,2,500.0,80.88144479895618,9.132424170793605,73064,4638,0.09866577399751787,457,77205.93149154625,150.0,0.006843315355807027,42356.183304140744,7106.786916203481,1266.3381157127615
Seniors,1,500.0,58.57552590691472,2.2675144434039014,29882,651,0.004877655888476066,3,813.798282909757,1.6275933106328928,0.016732480532344537,1476.15190265594,1335.4575226329498,10.546877181594875
Middle Age,0,500.0,81.98117092242386,3.3331630369141165,99391,5027,0.03362060770153056,169,38490.96490662388,76.98177584969606,0.005030636526137814,16755.810586567262,2120.3027314735523,656.0985524882432
Seniors,2,500.0,42.42641837793908,3.2706934534389736,51743,3514,0.043292579522877815,152,34012.54021212749,68.02494437436623,0.009663142653824815,11493.216795384553,2072.70652382805,555.4097123868646
Young Adults,2,500.0,56.467414371917634,8.041498084796718,53571,1254,0.015691816605302125,19,2659.944242802591,5.31987784584949,0.009333407826372332,10084.038598335084,6100.625416302336,37.95674777379955
Middle Age,1,500.0,48.86210039436775,5.69210192411304,31413,2276,0.03669488677087582,83,17725.515232642403,35.45095956336568,0.015916976541018795,12955.22397928128,4029.927248794026,274.0576866560116
Seniors,1,500.0,43.67830314865261,3.2740821108980733,37517,1569,0.00984407965577902,15,1398.3120407927127,2.796618488348449,0.013327291272562006,5137.034831999077,2075.283746067838,20.57984254293405
Seniors,1,500.0,48.58223993047571,2.227844276395479,45269,863,0.006360527797684134,5,961.566372097092,1.923128897936388,0.011045085797232417,1922.6296105292984,1307.470206797771,13.003375987186836
Middle Age,0,500.0,49.224414917385396,9.03714701198188,84951,7516,0.09140497786057558,686,130375.53860716963,150.0,0.0058857458312939715,67923.1969420558,7017.907198562216,1338.7383601766203
Seniors,0,500.0,96.65336452422457,7.229161420490759,76905,6443,0.139332090161786,897,199091.7076363865,150.0,0.006501527774507148,46577.48703222196,5368.778801816334,1315.63571164453
Seniors,2,500.0,64.99227494605772,5.756724924574501,68861,1837,0.008805945225074009,16,1770.7531838837165,3.5414992847688636,0.007261003946195902,10575.103686443357,4084.891991361127,26.61944316628858
Young Adults,0,500.0,59.65391412456494,9.689237807649828,89757,2767,0.03430130300423339,94,7444.444100169891,14.888858422622937,0.005570596103138517,26810.121013767075,7629.877099764977,118.00730991055937
Young Adults,0,500.0,62.748892742763935,8.646318546857568,99823,6453,0.12588208209224672,812,236961.47600420707,150.0,0.005008865642097857,55794.693582871885,6655.297632826196,1315.868305891786
Young Adults,2,500.0,99.70982320550642,2.603092381605779,53917,1090,0.013146847045813984,14,1236.1902659586256,2.472375587166077,0.00927351282019562,2837.3706959502993,1576.0046759786978,17.293896340862663
Young Adults,2,500.0,74.01918286684403,5.573175343776212,54386,1008,0.020111802648647592,20,2685.6658489438287,5.371320955245747,0.00919354228673662,5617.760746526422,3929.101543478149,37.15189633028835
Young Adults,0,500.0,77.76149810978411,5.374707864302035,80133,2400,0.037051787767318906,88,23564.359322874727,47.128624388500675,0.006239626542877135,12899.298874324884,3761.801200903883,366.8322740343969
Young Adults,2,500.0,48.52163721552435,8.59857778776708,73384,1668,0.010405909035753157,17,3375.9344724692187,6.751855441227555,0.006813474233981873,14342.42774999549,6611.225243056887,50.09863182137538
Middle Age,1,500.0,60.36532824759021,2.341792642994157,26092,461,0.008468381322257164,3,311.4648874920541,0.62292852912705,0.019162961092941855,1079.5664084203063,1388.1235718463665,3.8220184129651162
Young Adults,2,500.0,38.8049042124351,5.066076137110987,74132,4748,0.046187198916951736,219,37218.02160883004,74.43589434587139,0.006744725533578946,24053.729499002966,3504.096511904497,630.1511579135712
Seniors,0,500.0,76.38920917679998,6.728864980040508,79029,2043,0.032728610548068575,66,17174.324661245788,34.34858062533033,0.006326791350937107,13747.071154222758,4926.0654871149245,261.82768731183756
Middle Age,0,500.0,50.8370894314915,9.507291532126379,98979,5625,0.07348562861011526,413,122788.74783143209,150.0,0.00505157654601909,53478.514868210885,7458.271314802698,1295.2730983574704
Seniors,2,500.0,81.12162743214016,9.09338441430666,68966,1998,0.043182941413009976,86,18126.621334122563,36.253170161904805,0.00724994914523172,18168.58205978471,7070.345968819637,275.5386791315815
Young Adults,0,500.0,40.98709826012036,5.804630828595183,76267,4179,0.03244265243314525,135,15307.541828287798,30.615022426530743,0.006555915316507593,24257.55223269927,4125.717898692782,255.27009367266336
Young Adults,0,500.0,55.2627271151128,6.460487115668977,84177,5470,0.06919610218933613,378,95683.50274058427,150.0,0.005939864738112967,35338.86452270931,4691.247240597183,1291.0825041095738
Seniors,1,500.0,60.33882549710567,8.671612088135447,32253,1938,0.056368701080717135,109,27487.912553300575,54.975715155170846,0.015502433401468596,16805.584226806495,6678.667382672697,416.1621865198704
Seniors,0,500.0,37.48940153276507,7.699494386917129,80082,1645,0.016781045405862168,27,7352.119679040859,14.70420994966182,0.0062436002317174865,12665.668266478677,5790.6144850960545,108.90089902660937
Seniors,2,500.0,30.219332083093693,8.914020482117305,65956,5741,0.08956394457524115,514,43208.69010145284,86.41720736849095,0.007580811335120211,51175.391587835446,6903.32559762259,747.9895706224795
Middle Age,1,500.0,48.78007729888542,9.063375528985919,32398,722,0.018223665727292615,13,1836.5831586855847,3.6731589710532275,0.015433050946569203,6543.757131927833,7042.355978142366,24.181908644487017
Young Adults,0,500.0,65.86691076446358,8.49327418026152,75248,5568,0.05942865462787221,330,35768.84813749033,71.53755319987425,0.0066446947873073725,47290.55063569615,6514.186338390991,617.009306278407
Seniors,1,500.0,73.95092114258051,1.0844038890449115,42550,3284,0.01977919661681264,64,6660.360073272632,13.320693505158253,0.011750881039932291,3561.1823716234894,551.0605027138436,107.85927951566332
Young Adults,2,500.0,56.89535074214727,3.7984048567390003,65301,4525,0.03708882503680996,167,23603.790296048366,47.20748617712438,0.00765685046696298,17187.781976743976,2480.227436683413,397.3734441946764
Seniors,1,500.0,62.52082098287842,4.631652887812487,46157,3435,0.059578868175890407,204,12624.356067171755,25.248661637020238,0.010832592871447607,15909.727669635895,3146.6845632861455,205.57620086230273
Young Adults,1,500.0,65.73947308072461,7.101237702729574,32879,1594,0.056611895607980404,90,23580.37960366295,47.160664885996134,0.015207274697914334,11319.372898150941,5254.977545066863,347.79240764528436
Middle Age,1,500.0,63.39331157864328,3.761748833751719,43849,3578,0.031648064516739814,113,29713.82777236637,59.42753668965936,0.011402768332167933,13459.53732716365,2451.5330829345926,486.2859477096129
Young Adults,2,500.0,31.774641664271915,3.912023179561153,57908,1211,0.0040953439746247485,4,1143.3506156925894,2.286696657991863,0.008634385428017106,4737.4600704485565,2569.51825603027,16.235608393582563
Seniors,2,500.0,55.37507745359705,4.601827356134701,62086,1262,0.006630963794523883,8,540.6012729714703,1.0812003835421735,0.008053345229949663,5807.506123441993,3122.384555680157,7.721116965254027
Young Adults,1,500.0,40.32485674953681,9.598002403922068,36151,745,0.04279236987982465,31,5977.7202506674985,11.955416590501816,0.013830875665102608,7150.511790921941,7543.7455209182535,79.08180018229312
Middle Age,1,500.0,65.03019807173158,4.934420618899342,49056,1111,0.008032805575743245,8,412.9326239387568,0.8258635961503213,0.010192432929867235,5482.141307597169,3395.1065187057534,5.792537457121411
Middle Age,0,500.0,81.85571892109431,2.2660500075322814,89453,3598,0.008327093234225555,29,5725.717324102604,11.451411745381717,0.0055895273988627835,8153.247927101148,1334.422610288267,93.76886942935269
Young Adults,0,500.0,68.46147244791575,1.0572022600923132,93340,3203,0.00843898619625378,27,2007.9017569889422,4.0157954823869195,0.005356760174022282,3386.218839075679,534.5147619304904,32.41612481974797
Seniors,2,500.0,41.63663886001394,3.1295139500473463,65156,4230,0.04299214342784008,181,26526.51845546247,53.052930805063326,0.007673890237677417,13237.844008700275,1965.813324733606,443.00224596053084
Middle Age,2,500.0,40.58176641981387,9.449298043043367,61897,1278,0.011841938942132616,15,1964.3860281170369,3.9287641987056765,0.008077935795306142,12076.202899009422,7403.7110559013745,28.105726123133486
Middle Age,2,500.0,27.774859781178357,9.594932820563542,68670,4811,0.12014131846516632,577,76574.51675185558,150.0,0.007281199835718656,46161.221799731204,7540.850491627013,1271.8302115641854
Young Adults,1,500.0,56.978566161481794,5.761012203534448,41089,779,0.016729404512816716,13,1273.315354027523,2.5466256148038164,0.012168706657044304,4487.828506553335,4088.542895456494,16.95872847237366
Middle Age,0,500.0,57.464615212182345,6.817270103078224,99528,5932,0.049971915248309046,296,22545.772312022717,45.091454441136555,0.0050237118697882815,40440.04625146002,5003.8306831840855,391.76741925509964
Middle Age,0,500.0,42.73272590020176,8.163262088930235,80896,4811,0.07259134979674906,349,18865.49720116722,37.730918940496565,0.00618077524005173,39273.45390984336,6211.643068878171,319.91548412401914
Seniors,1,500.0,82.31938507616954,1.5029886269053678,42976,942,0.002644660792545747,2,475.47558243028055,0.9509492629620352,0.011634400324962763,1415.8152865448565,815.2988645560434,6.513114533448412
Seniors,1,500.0,53.98650224525838,4.368765691839316,45353,1917,0.04449654596428681,85,23717.688887728265,47.43528290489073,0.011024628778148552,8374.92383125597,2933.5973722644894,358.5651181358486
Seniors,2,500.0,75.20510485565494,6.780225722478412,73624,5539,0.0430063073143601,238,65139.43496503597,130.2786093728532,0.006791263626110186,37555.67027680793,4971.220045620422,1122.969014446658
Young Adults,1,500.0,73.0052749167834,9.084280864334406,49249,4123,0.06633966018024326,273,56875.62203661512,113.7510165711971,0.010152490199750449,37454.49000365076,7061.852919436734,946.9293061613986
Middle Age,2,500.0,70.35553422965312,7.541466050226993,51676,1108,0.020026145573945126,22,1766.2984921536272,3.532589919127416,0.009675671304364284,8355.944383651507,5648.289403231188,24.767743852559043
Young Adults,0,500.0,93.104962036298,4.15055319227811,83646,4860,0.022312818100148565,108,20733.967724491507,41.46785251327799,0.005977572077833105,20171.688514471614,2758.6536950841787,352.0205774700579
Middle Age,1,500.0,26.19175868415394,9.189840865475977,44999,3202,0.0736332633068642,235,17512.635022643244,35.0251999948865,0.0111113577832539,29425.87045125408,7160.438081286359,282.7179206424153
Middle Age,0,500.0,30.102798313258276,6.981575034258632,77815,1764,0.009177292062379164,16,2851.3224669619003,5.702633528656744,0.006425496287020545,12315.498360432226,5148.89572087085,42.63235203799962
Middle Age,0,500.0,79.16054877624906,8.47211757492277,95142,2248,0.0346150047135183,77,20359.249638566762,40.718417840297846,0.005255302545087316,19045.320308426388,6494.719115721761,314.2745600739776
Seniors,1,500.0,51.514443923435785,4.469567876489869,34321,2995,0.038319856794089426,114,11376.721860431497,22.753398214066568,0.014568339658857853,13386.355790087156,3015.0092491067608,182.14171140740936
Young Adults,1,500.0,98.98917964919069,1.0194295667485598,35844,1655,0.011499373717160893,19,5381.854988355181,10.763688449333465,0.013949335622437909,1687.1559329688664,511.68027419094796,79.78218458185736
Young Adults,0,500.0,41.23095418994217,2.4955173459415483,95697,4308,0.008184147233076826,35,5129.280685603971,10.258540854126233,0.005224824130068611,10750.68872631619,1498.1755868176351,85.84820046639977
Middle Age,1,500.0,38.75642785688154,9.344596755425556,40295,3140,0.04768414384384027,149,15576.54967082384,31.15303703557361,0.012408487097444174,29342.033812036247,7305.3778331694175,250.8534910715472
Young Adults,1,500.0,69.11663684455885,1.2981163037366121,26556,1466,0.006080200247485861,8,1403.1065792457441,2.806207546076396,0.01882813605858804,1903.0385012778734,683.8271344426134,20.459988440677513
Seniors,0,500.0,45.95689591665034,6.3643533394163425,90172,6277,0.07022291989324829,440,117619.18660937187,150.0,0.005544958462217113,39949.04591151638,4607.603971763437,1311.7210106102848
Young Adults,1,500.0,50.536973880176596,4.682147560972073,46166,3082,0.06237580244003922,192,22587.23223867656,45.17437412860486,0.01083048107199062,14430.378782915928,3187.895820358087,362.91549144274853
Middle Age,1,500.0,94.07682429871328,4.8662081423283645,47456,1014,0.016831878180645566,17,1582.370047595301,3.1647337657230707,0.010536075300571577,4934.3350563209615,3338.86470783578,21.9083248714303
Seniors,1,500.0,26.96820014857949,4.607365142207909,41931,868,0.021203831008816246,18,3778.1725347067504,7.556329956753587,0.011924351627093282,3999.192943436465,3126.894028068255,51.13627758507333
Seniors,0,500.0,64.84445649379117,1.6068324558940588,93736,1508,0.004363218028032837,6,1338.35171312947,2.6766980728627945,0.005334129839825362,2423.1033434882406,883.3538754659035,19.59129511627653
Middle Age,0,500.0,50.117457101465135,2.10097446557907,83114,4392,0.008629003532025266,37,2516.2894266055273,5.032568788073479,0.006015833601850066,9227.479852823275,1218.6386090301303,42.212017646685126
Young Adults,2,500.0,50.94939819649669,1.5664541400383731,69686,4755,0.009313729124642893,44,4981.066584738537,9.962113245250585,0.007175042229787299,7448.489435882464,856.7837603239808,84.35082927822154
Middle Age,2,500.0,43.58566074162371,1.48517073227829,59002,3334,0.010200292870801474,34,2714.949213996334,5.429887568217532,0.008474288863525154,4951.55922141582,803.7142396456109,44.04848574158985
Young Adults,1,500.0,35.11375650836242,1.7704954288755617,35740,1911,0.022153592322539974,42,9562.11913765632,19.124200026912586,0.013989926860942171,3383.4167645811985,992.393191655326,144.50064039459104
Young Adults,0,500.0,27.58612462937943,7.269554726068014,94516,6205,0.06777550086056906,420,76503.81512051265,150.0,0.005290109555100622,45107.58707525203,5404.796874145061,1309.9907767512486
Seniors,0,500.0,99.07716296799657,2.0278468020084435,81227,6580,0.036938042882861254,243,66531.44999200561,133.0626338587435,0.006155588583160912,13343.231957215557,1167.9175243415418,1169.87895771725
Middle Age,1,500.0,74.52745188350657,3.353437591338671,45890,4119,0.019547565672451927,80,17534.3395726161,35.068609008014185,0.010895619723346706,13812.809438723985,2135.788670330194,291.8973700003527
Seniors,0,500.0,83.2903979995272,6.912542654705214,96146,8706,0.11727586136099256,1021,120720.19756422631,150.0,0.005200424300538511,60180.59635186359,5087.862821191091,1360.7823868242924
Middle Age,0,500.0,29.875172447495473,2.010390964715317,95171,1587,0.004811035880241264,7,941.8936117869123,1.8837834560069127,0.005253701177315556,3190.490461003208,1155.863721122038,13.883918549991389
Middle Age,2,500.0,26.112806012858282,9.192306236967857,74408,1856,0.019404593969491127,36,5575.387665140348,11.15075302877464,0.0067197074680181235,17060.920375812344,7162.743272036378,83.92856864398496
Seniors,0,500.0,70.02165154895835,5.297357602013041,98779,3289,0.011698559072171027,38,2834.172452344986,5.668333568022836,0.005061804583344592,17423.009153020892,3696.92937383556,45.90580908670943
Middle Age,1,500.0,79.2873541925139,9.667517413049529,39109,2794,0.07808860246361078,218,61112.42557881558,122.22460670841775,0.012784780669800285,27011.043652060383,7609.357000409818,969.924047203921
Middle Age,0,500.0,54.614969966902386,2.7325966475644736,79871,2486,0.018213350401101742,45,10112.936499801788,20.22583254793848,0.006260094323846022,6793.235265845281,1670.554473780367,158.14239572875627
Young Adults,1,500.0,54.081633151294575,1.2756194851546048,36456,1141,0.007113216725845185,8,1850.4349454458663,3.7008624891667545,0.01371516310853733,1455.481832561404,669.6307332256156,26.05605703016374
Middle Age,0,500.0,53.83596409956683,6.312532672508283,76935,6474,0.07565628290382186,489,105089.22353995247,150.0,0.006498992571664489,40867.33652181862,4562.620748382131,1316.3555829851607
Middle Age,0,500.0,36.45668859707657,3.9586454852773043,94018,2637,0.024332258786340422,64,10290.175869245137,20.580310577869117,0.005318130514176748,10438.948144676251,2606.3091989651703,162.12708360183296
Seniors,2,500.0,81.54351334005516,6.151514879108176,65222,2660,0.02163517379236884,57,8256.994404313395,16.51395578071523,0.007666124809632873,16363.029578427748,4423.321424475056,130.23660663942564
Seniors,0,500.0,41.139454925529144,5.262851536468625,82224,5841,0.03956189415788688,231,43305.55872843836,86.61094423498825,0.006080949527133811,30740.315824513236,3668.050844384557,751.1618640961998
Middle Age,1,500.0,49.33078719822184,5.114405503517328,35755,2517,0.05791849949995595,145,33990.62854829941,67.98112113435656,0.01398405778257425,12872.958652353114,3544.248749898745,532.3751300388361
Young Adults,2,500.0,75.34448031741877,8.660598708737545,72473,5642,0.11323496611016896,638,88693.9669011234,150.0,0.006899120956782237,48863.09791469723,6668.489987462004,1295.725667695371
Young Adults,1,500.0,25.00785330986077,2.726506035629319,29806,543,0.005677533395824711,3,519.8272474824097,1.039652415659988,0.016775145380958686,1480.4927773467202,1666.087324983466,6.548717800613442
Seniors,1,500.0,82.46928894699846,5.496714231471734,27802,2529,0.07544210103451965,190,40490.864953267155,80.98156794339843,0.017984317028116068,13901.190291392015,3864.504302672704,634.5695079924282
Middle Age,2,500.0,92.43210612000685,4.744038354354072,72628,1377,0.0066556950081814595,9,1072.8337625432844,2.1456632337601014,0.0068843971073911285,6532.540813945558,3238.5293265975715,15.50968733987759
Middle Age,2,500.0,28.871303144745095,7.063924790595861,67977,4048,0.021962474167528553,88,22730.694069013338,45.461297215432246,0.007355428933971358,28594.767552332043,5221.860724995184,377.611773284356
Young Adults,1,500.0,69.37178548452135,1.4511940004651103,49698,4386,0.029589415569388065,129,13334.495312180827,26.668937286487083,0.010060766830440524,6364.936886039974,781.7008306454055,223.6563996925405
Young Adults,2,500.0,55.634422736075535,5.764783977715642,63465,3346,0.042036709987560324,140,37189.953206599756,74.37975765368421,0.007878358026024454,19288.96718943654,4091.7552621944455,603.6527025370943
Young Adults,0,500.0,30.88475435451042,5.3068659087685415,76411,2117,0.014148448594992737,29,1484.3313851621815,2.968656833010697,0.006543560396493169,11234.635128863003,3704.8936113062805,22.734649474289505
Seniors,2,500.0,76.16732404902207,9.762225502469024,73295,1261,0.019482207029558662,24,5062.2063546218515,10.124392460458782,0.006821747638696396,12310.166358613438,7698.8987265957485,72.29274895383334
Middle Age,1,500.0,70.92389670005024,7.802396342197367,30430,890,0.035070005893521695,31,5220.590448577379,10.441160014834729,0.01643115292700779,6944.132744555657,5883.606423846863,70.9199550430937
Seniors,0,500.0,73.19952454123137,2.3948075683963124,75849,1880,0.014206740979266221,26,2906.2272505092715,5.812442876132791,0.006592044633521277,4502.238228585067,1425.9186546385145,43.82325500655486
Middle Age,2,500.0,86.01215237777834,5.582929950152221,74459,5296,0.07711543691918156,408,117165.59707267032,150.0,0.006715104866905211,29567.19701600616,3937.3554113514465,1286.234385231679
Seniors,0,500.0,46.518923170737125,8.053632300215394,75276,2677,0.06864366501872592,183,18904.917549352514,37.80975947918607,0.006642223196739688,21559.57366767661,6111.673726144176,298.425834758735
Middle Age,0,500.0,75.78010535757865,5.721124289640365,88621,3811,0.01781869612925645,67,11582.93002003137,23.165813708435323,0.0056420035246498735,21803.20466781943,4054.5967102634454,191.02319788441753
Young Adults,2,500.0,80.74882709374582,4.210306931417778,68246,1863,0.009845296367908455,18,3414.1282821902514,6.828242907894688,0.007326436606886313,7843.80181323132,2806.380233691828,51.41994662057816
Young Adults,0,500.0,37.66112234499543,4.389898388306737,95322,6524,0.03683961655831504,240,69312.27159934619,138.6242659501605,0.005245378766230473,28639.69708531315,2950.634158455554,1217.591855236868
Young Adults,0,500.0,96.78001562968313,4.303035512847241,98380,5729,0.02477593434350021,141,29530.68644404518,59.06125476558083,0.005082333756024255,24652.090453101842,2880.712523897103,511.0848440987276
Seniors,0,500.0,50.498578351609964,1.1795902821066746,81506,6674,0.023320719028718188,155,10553.722500550415,21.107402786295257,0.00613451762895348,7872.585542779946,609.6034659548204,185.87441645460336
Young Adults,2,500.0,78.52811698612585,7.575365315509156,51932,1283,0.01577051230936215,20,3081.5931216439603,6.163173916940087,0.009627974858892883,9719.193699798247,5678.770292433204,44.114368640885544
Middle Age,1,500.0,81.5515094714412,6.497953831899249,35799,3320,0.05061442369171207,168,44749.42612642677,89.49867325550703,0.013966870192830242,21573.206721905506,4723.913645152316,725.6571420407145
Seniors,0,500.0,62.80231894797819,3.4180976991963847,86565,5192,0.030248370347788302,157,37717.100673314955,75.43405047852896,0.005776006402402744,17746.76325422763,2185.301534444989,645.3433441457418
Middle Age,1,500.0,34.65379795981375,6.670210359344671,35908,2410,0.084791196370274,204,12809.840677620994,25.619630115981757,0.013924473267113924,16075.206966020658,4874.582679183356,199.52047543739903
Seniors,1,500.0,45.67471993131826,3.7785644295213343,35938,743,0.009839515423467286,7,1370.919151952735,2.74183282023983,0.013912849521040417,2807.4733711343515,2464.6894302599762,18.129111118077898
Middle Age,0,500.0,42.56852142465446,3.1904321526528996,93928,4625,0.009230022373203254,42,3308.605445766602,6.61719765713789,0.005323226244323032,14755.74870601966,2011.8213858069628,55.84549449285657
Middle Age,2,500.0,63.89817474381912,7.670375991954437,66982,1716,0.039943039415869755,68,5073.246158232849,10.146472023521651,0.007464691895364547,13162.365202193814,5764.345295005817,75.57431114144525
Seniors,1,500.0,44.59516532477553,8.281986488398234,47042,4202,0.17688562020895585,743,215870.8322058249,150.0,0.01062879956998428,34800.90722424938,6320.208789056734,1251.5330752507675
Seniors,0,500.0,66.00778577183486,6.631377626669965,97156,2088,0.03023891183142055,63,14168.603315350183,28.337149956400456,0.005146362497978895,13846.316484486888,4840.547832079587,216.6216641930485
Young Adults,0,500.0,46.61550657902748,8.05731964298091,78029,4589,0.10333259425731736,474,36602.978158048434,73.20580990447706,0.006407873913444054,36975.0398416394,6115.03174400239,617.2446911792923
Young Adults,2,500.0,25.073435025767505,4.291301027128514,65113,1225,0.017737216245446268,21,2825.8354872167206,5.651659671114099,0.007678958001029626,5256.84375823243,2871.288166191375,40.1918462294406
Middle Age,1,500.0,52.24425503369587,1.646234122142902,49664,2414,0.01615610497840335,39,8574.29926078429,17.148564224440133,0.010067654436459923,3974.0091708529653,909.4104145350632,133.57796189989574
Middle Age,0,500.0,70.51381398918646,6.443970474059384,75793,3561,0.06392433743982441,227,62738.39418088283,125.47653740869085,0.006596915195375362,22946.978858125465,4676.858760233033,1026.1568428238968
Middle Age,0,500.0,83.02725824029847,3.303786241805817,79831,1976,0.005343476423026556,10,667.1576834411609,1.3343126982569253,0.006263230997191178,6528.281613808294,2097.8978248464164,10.12654716019273
Seniors,0,500.0,27.12733457349812,7.9973141180215945,78469,3225,0.02002382020424956,64,4531.638406422945,9.063258686328519,0.006371942979113497,25791.33803061964,6060.423726570131,73.2220511448612
Seniors,1,500.0,44.37347505074446,4.222967996212377,39751,878,0.0060680610601282796,5,389.61963942209985,0.779237720368759,0.012578299600555972,3707.765900674467,2816.510356450201,5.2822848905423685
Young Adults,0,500.0,98.9096590035751,7.036057350472723,77284,3531,0.0541144975684566,191,35556.864385913155,71.11358654465323,0.006469644344629621,24844.318504519186,5197.149971112069,580.9709477395411
Middle Age,2,500.0,44.63615413979125,5.9757950537876745,68651,2048,0.017522683738057328,35,5810.438277070196,11.620853312433768,0.007283214996384393,12238.428270157157,4272.133718320789,88.61025166127443
Young Adults,0,500.0,83.28982424038261,8.357363093041368,88660,3169,0.016620875676710584,52,4736.336510159299,9.472654075010448,0.0056395217049456155,26484.483641848095,6389.297780585195,76.36367642011189
Seniors,2,500.0,63.20302138056583,8.49074879543721,71784,1158,0.008951476347544035,10,1839.4856040332818,3.6789638501388633,0.006965340368810036,9832.28710511629,6511.862098605122,25.956240902067382
Seniors,1,500.0,34.16304880415152,1.6146796328100828,35986,2536,0.007251288917259706,18,2440.8086064612103,4.881607449707522,0.01389429183865137,4094.82754880637,888.5331696489919,38.26563966724201
Seniors,1,500.0,73.25500967462902,3.6560409196848904,48874,3446,0.04524259759294098,155,14246.883224290354,28.493709461161785,0.01023038813621991,12598.717009234133,2369.0992856085477,232.08865957408014
Young Adults,0,500.0,97.47556391907777,8.837912238359129,80866,4849,0.04164469573711927,201,11712.655687815588,23.425264525102126,0.006183068209345482,42855.036443803416,6832.657098542011,198.8039885277699
Seniors,0,500.0,91.5121774561749,4.635906667690742,80528,7303,0.09214589986851845,672,50289.865905706174,100.57953065235105,0.0062090203878275825,33856.02639414549,3150.152836793236,894.7733497324422
Middle Age,1,500.0,76.77195908790299,5.633824090878313,41632,1720,0.05787828641236532,99,14537.877178652254,29.0756962059121,0.012009992025125097,9690.177436310698,3980.4662268828315,216.6331498439459
Young Adults,2,500.0,63.41112002077798,2.650094083160897,51609,890,0.0063219604673471425,5,892.5949318470468,1.785186293321507,0.009688232484872165,2358.5837340131984,1610.2138405228036,12.125600171439608
Seniors,1,500.0,48.94997541621611,5.974176409186945,26126,425,0.015312857906547905,6,636.3813168454903,1.2727600881708043,0.01913802269241282,2539.0249739044516,4270.745140808718,7.705848756182592
Young Adults,1,500.0,51.77249699248296,3.3815343883766795,49944,877,0.0060607443908468105,5,1225.5300506459232,2.451055199181448,0.010011212357616284,2965.605658606348,2157.2802838747466,16.612385921543783
Young Adults,1,500.0,50.9655055665316,8.463102202288212,26965,477,0.02712752961386298,12,2310.0435115858645,4.620077783016163,0.018542554476448935,4036.8997504914773,6486.426584838357,28.504081475041854
